42031,Clarion,Pennsylvania,0.718,0.243,17481,12545,4256,0.748,0.24,19213,14363,4615,41.19265812,-79.42413524,245,4,38747,18932,19815,0.8,96.3,1,0.2,0.5,0,31269,44373,1871,23595,689,17.5,23.1,30.1,22.9,19.3,11.4,16.3,82.9,6.7,0.2,5.1,1.2,3.9,22.5,17280,79.9,13.3,6.5,0.3,6.6
42033,Clearfield,Pennsylvania,0.731,0.236,32692,23909,7700,0.741,0.245,39124,28984,9598,41.00110782,-78.47592663,502,7,80539,41950,38589,2.9,93.1,2.5,0.2,0.6,0,63655,45188,1457,22568,514,15.3,24.1,26.7,19.7,21.1,11.7,20.7,83.1,10.2,0.2,3,1.1,2.4,24.4,33591,80.7,12.2,6.9,0.2,8.2
42035,Clinton,Pennsylvania,0.654,0.305,14839,9701,4533,0.675,0.312,17608,11889,5498,41.23255967,-77.63785995,282,7,39321,19293,20028,1.4,95.3,1.4,0.1,0.7,0,31060,47990,1746,22794,621,17.2,24.4,26.2,20.7,22.1,12.2,18.8,79.4,9.9,0,5.4,2,3.2,22.6,17572,81.5,13.8,4.5,0.2,5.9
42037,Columbia,Pennsylvania,0.641,0.313,27127,17387,8502,0.646,0.337,30569,19752,10289,41.04821986,-76.40565017,1079,43,66615,32085,34530,2.6,93.4,1.8,0.1,1.2,0,54036,48395,1745,24908,857,15.9,18.4,32.2,18,22,8.3,19.5,84.5,7.5,0.3,3.5,0.7,3.4,22.3,30035,81.8,12.7,5.3,0.2,5.1
42039,Crawford,Pennsylvania,0.672,0.287,35563,23912,10215,0.681,0.307,41125,28002,12610,41.68447709,-80.10760592,585,3,86847,42498,44349,1.2,95.1,1.9,0.1,0.4,0,67896,47179,1277,24716,570,14.5,20,29.8,18.3,20.3,10.4,21.2,77.1,10.9,0.4,6.1,1.4,4.2,22,38270,80.9,10.9,8,0.2,6
42041,Cumberland,Pennsylvania,0.571,0.385,115068,65649,44282,0.546,0.439,139399,76149,61168,40.1625372,-77.26130755,2566,81,245801,121449,124352,3.5,86.9,3.5,0.1,4,0,189160,65544,1244,34246,539,7.8,10.8,40.6,15.4,25,6.2,12.7,81.9,8.2,0.7,3.9,1.1,4.3,22.1,123566,79.6,15.3,4.9,0.2,4.2
42043,Dauphin,Pennsylvania,0.466,0.494,130160,60620,64287,0.451,0.536,144482,65154,77397,40.41377078,-76.77993242,4998,196,273329,132330,140999,8.5,67.1,17.7,0.1,3.9,0,203188,57071,1116,31152,652,13.2,20.1,38.4,17.9,25.2,6,12.4,79.1,9.1,2.7,3.5,1.5,4.1,22,134706,79.2,16.4,4.2,0.2,5.7
42045,Delaware,Pennsylvania,0.374,0.594,284832,106559,169169,0.362,0.626,325464,117843,203601,39.91680171,-75.40243663,14001,771,563384,270775,292609,3.6,68,20.7,0.1,5.4,0,415663,69839,1025,36747,519,10.4,14,43,17.5,23.9,6.6,9.1,73.3,6.9,10.5,3.8,1,4.5,29,275010,85.7,9.6,4.6,0.1,6.8
42047,Elk,Pennsylvania,0.7,0.263,13854,9704,3637,0.718,0.268,16713,11993,4478,41.42822061,-78.64524744,198,2,30781,15435,15346,0.8,97.6,0.5,0.2,0.4,0,24631,49876,2142,27163,1011,9.4,14.9,26.3,14,18.6,8.4,32.8,84.9,7.9,0.7,2.4,0.4,3.7,18.8,15169,86.3,8.1,5.3,0.3,4.8
42049,Erie,Pennsylvania,0.488,0.468,117240,57168,54820,0.488,0.498,137184,66912,68336,41.99253829,-80.03301954,2261,40,277794,137134,140660,4,84.8,6.8,0.2,1.6,0,211830,48192,1037,26361,443,16.8,25,33.7,20.6,23.2,7.2,15.3,78.8,10.9,1.7,3.9,1,3.6,19.3,126958,84.9,10.3,4.6,0.1,6.5
42051,Fayette,Pennsylvania,0.644,0.334,53426,34388,17826,0.667,0.326,59941,39978,19518,39.92041012,-79.64291195,1074,15,133160,65640,67520,1.1,92.1,3.9,0,0.2,0.2,106492,41632,1212,24247,702,18.8,30.6,27.7,19.6,22.8,11.8,18.1,85.3,8.3,0.4,2.3,0.8,2.9,26.3,54222,85.1,10.4,4.3,0.1,7.5
42053,Forest,Pennsylvania,0.701,0.261,2398,1680,626,0.711,0.273,2621,1864,715,41.51095103,-79.23229292,19,1,7388,5972,1416,7,59.7,30.8,0.2,0.7,0,6643,37106,3313,14989,2689,14.1,38.3,24.5,22.6,24.8,11.1,17,80.2,5.2,0.1,9.6,1.5,3.3,26.9,751,66.4,22.4,10.7,0.5,5.4
42055,Franklin,Pennsylvania,0.715,0.25,69345,49554,17322,0.708,0.278,80896,57308,22468,39.92956518,-77.72157791,2329,55,153003,75535,77468,5.3,88.6,3.8,0.2,1,0,115719,58267,1638,28985,715,10.4,15.6,30.8,17.1,23.1,10.4,18.5,83.8,9.1,0.2,2.3,0.8,3.7,24.4,72456,81.2,12.7,5.9,0.2,5.7
42057,Fulton,Pennsylvania,0.842,0.134,6743,5676,904,0.855,0.136,7978,6824,1085,39.92913544,-78.11163677,95,4,14631,7376,7255,1.2,96.3,1.5,0.3,0.1,0,11525,50007,1925,25273,812,11.5,14.2,25.7,16.9,20,14.2,23.2,77.9,15,0.1,2.6,0.5,3.9,32.3,6609,79.6,13.4,6.6,0.4,6.5
42059,Greene,Pennsylvania,0.695,0.278,14955,10394,4157,0.712,0.278,17635,12556,4900,39.85746531,-80.22357106,268,1,37338,19397,17941,1.5,93.6,3.1,0.1,0.4,0,30045,50972,2967,25574,926,14.8,21.7,30.7,19.3,19.7,16.4,13.8,84.2,8.9,0,2.6,1.2,3.1,26.8,14775,81.2,15.5,3.2,0.1,5.7
